ID;Título;Resumen
1;El misterio perdido;Una pareja de detectives intenta resolver un caso de desaparición en una pequeña ciudad.
2;Aventuras en la selva;Un grupo de niños se embarca en una emocionante aventura en la selva en busca de un tesoro legendario.
3;Noche de terror;Un grupo de amigos se encuentra atrapado en una casa encantada y deben enfrentarse a sus peores pesadillas para sobrevivir.
4;Amor en París;Dos almas perdidas encuentran el amor en las pintorescas calles de París, enfrentando desafíos y descubriendo el verdadero significado del romance.
5;Viaje al espacio;Una tripulación valiente se aventura en un viaje épico al espacio para descubrir nuevos mundos y enfrentar peligros cósmicos.
6;Comedia loca;Un grupo de amigos se ve envuelto en situaciones cómicas mientras intenta organizar el evento más extravagante del año.
7;En busca del tesoro;Un arqueólogo intrépido lidera una expedición en busca de un tesoro perdido, enfrentándose a peligros y traiciones en el camino.
8;Pesadilla en la calle;Un joven lucha contra terrores sobrenaturales que invaden sus sueños, desencadenando una pesadilla que amenaza con hacerse realidad.
9;Misterio en la montaña;Un grupo de excursionistas se encuentra en medio de un misterioso suceso en las montañas, desentrañando secretos oscuros mientras buscan respuestas.
10;El último samurái;Un guerrero solitario se embarca en una misión para preservar la esencia del antiguo arte del samurái en un mundo en constante cambio.
